epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.01,0,,,,,,,
0,,20,,,178.12168884277344,0.12281079590320587,180.47470092773438,0.13104231655597687,80.81499481201172
0,,20,68.96795654296875,,,,,,
,0.01,21,,,,,,,
1,,41,,,29.689733505249023,0.020852502435445786,38.92278289794922,0.020480524748563766,28.69170570373535
1,,41,32.28269577026367,,,,,,
,0.01,42,,,,,,,
2,,49,,28.656631469726562,,,,,
2,,62,,,61.81977462768555,0.04311426356434822,67.99724578857422,0.042005617171525955,32.465152740478516
2,,62,25.523319244384766,,,,,,
,0.01,63,,,,,,,
3,,83,,,34.18896484375,0.023998219519853592,44.407875061035156,0.023515934124588966,19.539091110229492
3,,83,20.05013656616211,,,,,,
,0.01,84,,,,,,,
4,,99,,17.287954330444336,,,,,
4,,104,,,21.606298446655273,0.015219399705529213,31.362886428833008,0.014987942762672901,17.917911529541016
4,,104,18.834211349487305,,,,,,
,0.01,105,,,,,,,
5,,125,,,57.74591064453125,0.040285177528858185,63.940208435058594,0.03930240869522095,25.8745174407959
5,,125,15.518089294433594,,,,,,
,0.01,126,,,,,,,
6,,146,,,53.07427978515625,0.0370698906481266,60.64207458496094,0.036183297634124756,25.40053939819336
6,,146,15.899541854858398,,,,,,
,0.01,147,,,,,,,
7,,149,,22.108905792236328,,,,,
7,,167,,,41.16374588012695,0.028871724382042885,52.61943435668945,0.028198907151818275,17.90342140197754
7,,167,18.096782684326172,,,,,,
,0.01,168,,,,,,,
8,,188,,,35.0042839050293,0.02454204484820366,43.8074836730957,0.024118348956108093,22.086658477783203
8,,188,14.327610969543457,,,,,,
,0.01,189,,,,,,,
9,,199,,12.8900728225708,,,,,
9,,209,,,43.1802978515625,0.030235853046178818,52.444496154785156,0.029573112726211548,31.417490005493164
9,,209,13.314528465270996,,,,,,
,0.01,210,,,,,,,
10,,230,,,78.11906433105469,0.05440749600529671,84.14320373535156,0.052726756781339645,34.02663040161133
10,,230,13.469382286071777,,,,,,
,0.01,231,,,,,,,
11,,249,,11.937647819519043,,,,,
11,,251,,,42.015869140625,0.029423246160149574,51.11206817626953,0.028788095340132713,29.6472225189209
11,,251,13.393373489379883,,,,,,
,0.01,252,,,,,,,
12,,272,,,42.5742073059082,0.0298419501632452,53.4416618347168,0.029148632660508156,20.773757934570312
12,,272,13.396512985229492,,,,,,
