epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.01,0,,,,,,,
0,,20,,,777.211669921875,0.5665401816368103,778.2208251953125,0.7906644940376282,290.80340576171875
0,,20,94.9822998046875,,,,,,
,0.01,21,,,,,,,
1,,41,,,168.96615600585938,0.12259211391210556,175.8974609375,0.13127093017101288,80.26737976074219
1,,41,56.965065002441406,,,,,,
,0.01,42,,,,,,,
2,,49,,27.3345947265625,,,,,
2,,62,,,170.96925354003906,0.1240241676568985,175.9718017578125,0.13266621530056,68.95023345947266
2,,62,30.38253402709961,,,,,,
,0.01,63,,,,,,,
3,,83,,,49.013648986816406,0.03526674956083298,62.4940185546875,0.03623800352215767,35.475006103515625
3,,83,22.629533767700195,,,,,,
,0.01,84,,,,,,,
4,,99,,25.340606689453125,,,,,
4,,104,,,161.92196655273438,0.11745645850896835,167.91952514648438,0.12531785666942596,78.82305908203125
4,,104,21.209672927856445,,,,,,
,0.01,105,,,,,,,
5,,125,,,98.20381927490234,0.07118158042430878,112.72526550292969,0.0747046247124672,49.970787048339844
5,,125,17.609317779541016,,,,,,
,0.01,126,,,,,,,
6,,146,,,69.04457092285156,0.05071200057864189,83.5937728881836,0.051726676523685455,37.58635330200195
6,,146,16.5528621673584,,,,,,
,0.01,147,,,,,,,
7,,149,,14.583231925964355,,,,,
7,,167,,,56.0945930480957,0.04114958643913269,68.54182434082031,0.04160233587026596,31.605575561523438
7,,167,14.705188751220703,,,,,,
,0.01,168,,,,,,,
8,,188,,,48.45306396484375,0.03570212051272392,54.59724044799805,0.03524603322148323,26.161569595336914
8,,188,14.500004768371582,,,,,,
,0.01,189,,,,,,,
9,,199,,14.000387191772461,,,,,
9,,209,,,55.5908088684082,0.04112304002046585,64.06072235107422,0.04006264731287956,25.7845458984375
9,,209,13.463958740234375,,,,,,
,0.01,210,,,,,,,
10,,230,,,38.598854064941406,0.028125068172812462,44.47199249267578,0.028278309851884842,23.02394676208496
10,,230,12.815465927124023,,,,,,
,0.01,231,,,,,,,
11,,249,,11.395281791687012,,,,,
11,,251,,,76.29652404785156,0.05586421489715576,90.51888275146484,0.05423150211572647,35.653221130371094
11,,251,12.407129287719727,,,,,,
,0.01,252,,,,,,,
12,,272,,,74.22966003417969,0.05443519353866577,89.770751953125,0.056094370782375336,39.31451416015625
12,,272,13.530942916870117,,,,,,
,0.01,273,,,,,,,
13,,293,,,57.955177307128906,0.04268437623977661,75.56836700439453,0.0427006371319294,31.555370330810547
13,,293,12.457782745361328,,,,,,
,0.01,294,,,,,,,
14,,299,,11.47260570526123,,,,,
14,,314,,,60.10187911987305,0.04422193765640259,82.27078247070312,0.0442836731672287,36.9792594909668
14,,314,12.028578758239746,,,,,,
,0.01,315,,,,,,,
15,,335,,,71.59318542480469,0.05275603011250496,92.57380676269531,0.05388633534312248,40.46904373168945
15,,335,12.83650016784668,,,,,,
