epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,21,,,383.47637939453125,0.2648569941520691,384.3827819824219,0.30542588233947754,162.44241333007812
0,21,73.07368469238281,,,,,,
1,43,,,425.40240478515625,0.29442328214645386,427.7969055175781,0.34615176916122437,161.96389770507812
1,43,41.42247009277344,,,,,,
2,49,,32.70092010498047,,,,,
2,65,,,62.420555114746094,0.042821068316698074,67.978515625,0.043931640684604645,32.46046447753906
2,65,30.155540466308594,,,,,,
3,87,,,22.129968643188477,0.015570307150483131,31.17974281311035,0.015347093343734741,19.73842430114746
3,87,21.134624481201172,,,,,,
4,99,,18.271076202392578,,,,,
4,109,,,65.2120361328125,0.0454741008579731,71.78573608398438,0.044241297990083694,45.266239166259766
4,109,17.940183639526367,,,,,,
5,131,,,80.568603515625,0.05606868118047714,85.06848907470703,0.0543532595038414,32.409156799316406
5,131,22.870861053466797,,,,,,
6,149,,19.463363647460938,,,,,
6,153,,,79.55085754394531,0.05538194254040718,84.84008026123047,0.053674668073654175,32.356651306152344
6,153,18.396507263183594,,,,,,
7,175,,,34.3480339050293,0.02411423809826374,44.639564514160156,0.023627545684576035,19.272953033447266
7,175,15.101655006408691,,,,,,
8,197,,,64.8899154663086,0.04525068402290344,71.82210540771484,0.044016897678375244,31.607540130615234
8,197,17.42530632019043,,,,,,
9,199,,14.368319511413574,,,,,
9,219,,,60.15117263793945,0.04197634011507034,67.74351501464844,0.040875501930713654,29.080408096313477
9,219,16.074237823486328,,,,,,
10,241,,,31.14788818359375,0.021881811320781708,40.873573303222656,0.021484676748514175,18.748672485351562
10,241,13.98752212524414,,,,,,
11,249,,12.7892427444458,,,,,
11,263,,,41.615150451660156,0.029148053377866745,51.06781005859375,0.0285154040902853,21.28048324584961
11,263,14.900101661682129,,,,,,
12,285,,,75.0374526977539,0.05226874351501465,81.34742736816406,0.05069594457745552,39.30150604248047
12,285,13.601184844970703,,,,,,
13,299,,14.700034141540527,,,,,
13,307,,,79.9698715209961,0.055663060396909714,84.9686050415039,0.05395130068063736,32.010047912597656
13,307,13.020465850830078,,,,,,
14,329,,,30.096729278564453,0.02115986868739128,40.48213577270508,0.02075953409075737,16.973873138427734
14,329,14.920459747314453,,,,,,
15,349,,14.729586601257324,,,,,
15,351,,,26.891979217529297,0.018629636615514755,30.308679580688477,0.018675783649086952,17.830806732177734
15,351,15.588028907775879,,,,,,
16,373,,,25.500146865844727,0.017902206629514694,33.90565490722656,0.017671829089522362,15.494420051574707
16,373,13.919845581054688,,,,,,
17,395,,,54.256980895996094,0.03790607303380966,63.05616760253906,0.036949045956134796,24.169281005859375
17,395,13.538346290588379,,,,,,
18,399,,14.779165267944336,,,,,
18,417,,,31.189855575561523,0.021899279206991196,40.334651947021484,0.0215168334543705,19.939138412475586
18,417,14.164571762084961,,,,,,
19,439,,,37.923240661621094,0.02659374475479126,47.566776275634766,0.026056120172142982,20.830062866210938
19,439,12.79791259765625,,,,,,
20,449,,11.07440185546875,,,,,
20,461,,,50.031211853027344,0.034984927624464035,58.94776153564453,0.03414551168680191,23.40053367614746
20,461,11.935592651367188,,,,,,
21,483,,,28.889453887939453,0.02030629850924015,38.57301712036133,0.019955307245254517,18.801843643188477
21,483,16.456085205078125,,,,,,
